all	0.534376350604316	2926393	1671495.4399171348	810365.0400116083	1319640.5123715193	3113287	1496981	2926393
chrom_01	0.5610176247665184	417161	222449.68000000605	105666.23999984443	191563.1074386368	421183	195097	417161
chrom_02	0.5028570566842081	231338	137208.79999973832	71909.76000001996	102857.09090912296	258239	133334	231338
chrom_03	0.5272463094475653	321117	177901.0399999168	89334.15999993248	143785.7355373945	332216	165185	321117
chrom_04	0.5659965756016435	271049	130617.59999975524	70008.40000003288	125092.57851243624	237970	129268	271049
chrom_05	0.5394824605516708	207006	124431.27999976931	55783.28000004038	93559.61983470425	233138	103356	207006
chrom_06	0.5087190159352432	200572	133357.43999973134	58285.920000041246	88746.2148760119	245934	106967	200572
chrom_07	0.49558541663335004	202462	138321.27999974994	60420.72000004628	88607.8181817958	258531	111102	202462
chrom_08	0.5690146671997398	253746	130543.19999968245	63584.240000051235	117178.54545459371	242225	118122	253746
chrom_09	0.5499968924946044	347496	186604.3999999522	90567.27999993553	158344.6280995011	345739	166860	347496
chrom_10	0.5371746454169719	226857	135608.7199997167	59934.240000048725	102489.42148762179	252379	111606	226857
dtmc_3_size55956	0.5524280595381517	109	79.60000000000012	47.51999999999997	51.96694214876036	144	88	109
dtmc_6_size87172	0.25668154362844586	113	44.79999999999998	84.32000000000005	40.34710743801654	82	157	113
dtmc_10_size89136	0.6052789802789802	8	7.2	14.800000000000004	4.0495867768595035	15	30	8
dtmc_27_size7304	0.29658389450056105	12	5.6	3.6	4.661157024793388	10	7	12
dtmc_31_size11570	0.6666666666666666	2	21.600000000000012	0.72	1.0413223140495866	37	1	2
dtmc_34_size1090	0	0	3.0399999999999996	0	0	7	0	0
dtmc_37_size119238	0.5700557830842106	1372	528.7999999999927	331.03999999999843	629.1074380165237	988	630	1372
dtmc_47_size183346	0.3147854022854021	74	47.19999999999997	109.2800000000002	27.884297520661175	92	203	74
dtmc_48_size77985	0.20029513239389776	81	32.79999999999999	97.28000000000006	29.86776859504135	59	165	81
dtmc_51_size59829	0.42454325687084293	58	20.400000000000002	25.039999999999992	24.628099173553736	37	47	58
dtmc_52_size165652	0.4504098156272075	598	479.91999999999155	245.43999999999977	254.59504132231416	904	447	598
dtmc_57_size30232	0	0	20.960000000000004	0	0	37	0	0
dtmc_61_size25535	0.3000000000000002	3	11.200000000000003	37.999999999999986	1.1900826446280992	20	69	3
dtmc_68_size10320	0.24645881615578552	33	7.3599999999999985	77.27999999999993	11.090909090909092	12	153	33
dtmc_69_size20997	0.4851327776700912	67	14.800000000000006	32.95999999999999	29.88429752066117	29	58	67
dtmc_71_size247039	0.5784435300038416	1426	909.9199999999868	377.0399999999972	661.9008264462723	1680	680	1426
dtmc_72_size610215	0.25983830983831074	676	1461.7600000000505	329.439999999999	228.3305785123979	2529	580	676
dtmc_74_size24086	0.6314213564213567	60	108.88000000000007	14.96000000000001	29.17355371900827	185	32	60
dtmc_76_size4504	0	0	8.880000000000003	0	0	19	0	0
dtmc_80_size196309	0.47369431643625176	248	536.2399999999964	87.36000000000007	109.0082644628099	1013	152	248
dtmc_85_size61883	0.3273447447160687	272	102.00000000000013	151.2800000000001	99.20661157024834	197	282	272
dtmc_88_size117405	0.4007259074029266	483	156.08000000000024	220.87999999999963	193.86776859504138	302	390	483
dtmc_90_size17964	0	0	29.919999999999984	0	0	55	0	0
dtmc_94_size195145	0.4300879294278635	303	539.6000000000047	125.76000000000015	129.19008264462806	901	223	303
dtmc_96_size116466	0.5278635716135711	1456	485.1199999999944	348.3999999999966	645.8842975206588	908	639	1456
dtmc_97_size266720	0.41214826568748764	1109	1041.0399999999806	447.51999999999606	449.5702479338853	2061	813	1109
dtmc_99_size22373	0.41085714285714253	25	75.60000000000001	5.6	9.47107438016529	147	12	25
dtmc_100_size70979	0.5457291838164325	149	40.39999999999998	52.55999999999996	69.19008264462803	77	91	149
dtmc_105_size4469	0	0	9.040000000000003	0	0	17	0	0
dtmc_110_size2023	0	0	0	0	0	0	0	0
dtmc_111_size29781	0.17920860575181566	243	89.28000000000004	109.6000000000001	83.19008264462805	164	207	243
dtmc_112_size79110	0.4174482924482928	108	177.99999999999952	39.43999999999999	44.69421487603304	295	67	108
dtmc_114_size31183	0.7142857142857143	2	27.27999999999998	0.8	1.1570247933884297	55	2	2
dtmc_119_size69902	0.6219223042752451	51	20.56	20.16000000000001	24.975206611570265	38	35	51
dtmc_121_size86753	0.5026751707169163	1006	404.23999999999467	308.9599999999993	448.51239669421534	744	536	1006
dtmc_122_size92418	0.38635121317240545	151	86.88000000000002	57.519999999999946	61.02479338842977	156	106	151
dtmc_132_size100126	0.34557166577714493	73	307.1199999999994	30.47999999999999	28.016528925619873	635	58	73
dtmc_137_size14796	0.632064487236901	29	87.28	9.28	14.710743801652894	176	16	29
dtmc_140_size82186	0.2387419086832586	341	83.60000000000014	152.16000000000017	112.5454545454547	155	285	341
dtmc_142_size37050	0.46528928485857324	267	92.16000000000007	85.76	114.5785123966941	183	162	267
dtmc_147_size1534	0.2579468150896721	7	5.759999999999999	5.36	2.694214876033058	11	8	7
dtmc_149_size36715	0.34036907536907496	65	19.280000000000005	26.560000000000002	24.528925619834737	36	46	65
dtmc_151_size51063	0.3878621933621934	250	164.3200000000003	76.08000000000003	95.02479338842961	321	148	250
dtmc_154_size60664	0.277834145021645	16	21.920000000000005	16.160000000000007	6.743801652892562	40	27	16
dtmc_171_size167692	0.43850927079488267	1376	630.3999999999849	434.71999999999605	556.9917355371873	1390	786	1376
